Water Control Zone	Station	Dates	Sample No	Depth	5-day Biochemical Oxygen Demand (mg/L)
Tolo Harbour And Channel	TM3	08-01-1986	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	08-01-1986	1	Middle Water	3.7
Tolo Harbour And Channel	TM3	08-01-1986	1	Bottom Water	3.5
Tolo Harbour And Channel	TM3	22-01-1986	1	Surface Water	1.9
Tolo Harbour And Channel	TM3	22-01-1986	1	Middle Water	2
Tolo Harbour And Channel	TM3	22-01-1986	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	05-02-1986	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	05-02-1986	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	05-02-1986	1	Bottom Water	2.7
Tolo Harbour And Channel	TM3	19-02-1986	1	Surface Water	7.1
Tolo Harbour And Channel	TM3	19-02-1986	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	19-02-1986	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	05-03-1986	1	Surface Water	1.6
Tolo Harbour And Channel	TM3	05-03-1986	1	Middle Water	5.2
Tolo Harbour And Channel	TM3	05-03-1986	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	19-03-1986	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	19-03-1986	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	19-03-1986	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	02-04-1986	1	Surface Water	1.3
Tolo Harbour And Channel	TM3	02-04-1986	1	Middle Water	1.1
Tolo Harbour And Channel	TM3	02-04-1986	1	Bottom Water	2.4
Tolo Harbour And Channel	TM3	16-04-1986	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	16-04-1986	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	16-04-1986	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	30-04-1986	1	Surface Water	8.7
Tolo Harbour And Channel	TM3	30-04-1986	1	Middle Water	5.9
Tolo Harbour And Channel	TM3	30-04-1986	1	Bottom Water	2.4
Tolo Harbour And Channel	TM3	14-05-1986	1	Surface Water	6.4
Tolo Harbour And Channel	TM3	14-05-1986	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	14-05-1986	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	28-05-1986	1	Surface Water	7.5
Tolo Harbour And Channel	TM3	28-05-1986	1	Middle Water	1.1
Tolo Harbour And Channel	TM3	28-05-1986	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	10-06-1986	1	Surface Water	7.2
Tolo Harbour And Channel	TM3	10-06-1986	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	10-06-1986	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	25-06-1986	1	Surface Water	2.6
Tolo Harbour And Channel	TM3	25-06-1986	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	25-06-1986	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	09-07-1986	1	Surface Water	2.3
Tolo Harbour And Channel	TM3	09-07-1986	1	Middle Water	1.4
